City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2010_yoy,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy
Abbeville,AL,525.0,488.0,477.0,469.0,495.0,508.0,493.0,514.0,553.0,563.0,623.0,534.0,508.0,522.0,554.0,-0.07047619047619047,-0.022540983606557378,-0.016771488469601678,0.05543710021321962,0.026262626262626262,-0.02952755905511811,0.04259634888438134,0.07587548638132295,0.018083182640144666,0.10657193605683836,-0.14285714285714285,-0.04868913857677903,0.027559055118110236,0.06130268199233716
Abbeville,GA,340.0,367.0,457.0,398.0,430.0,411.0,411.0,350.0,402.0,331.0,322.0,368.0,535.0,610.0,602.0,0.07941176470588235,0.2452316076294278,-0.12910284463894967,0.08040201005025126,-0.044186046511627906,0.0,-0.14841849148418493,0.14857142857142858,-0.17661691542288557,-0.027190332326283987,0.14285714285714285,0.453804347826087,0.14018691588785046,-0.013114754098360656
Abbeville,LA,544.0,543.0,595.0,574.0,596.0,627.0,622.0,647.0,647.0,669.0,682.0,699.0,695.0,749.0,800.0,-0.001838235294117647,0.09576427255985268,-0.03529411764705882,0.03832752613240418,0.05201342281879195,-0.007974481658692184,0.04019292604501608,0.0,0.03400309119010819,0.01943198804185351,0.024926686217008796,-0.005722460658082976,0.0776978417266187,0.06809078771695594
Abbeville,SC,526.0,520.0,544.0,613.0,678.0,491.0,486.0,497.0,545.0,651.0,658.0,698.0,768.0,801.0,575.0,-0.011406844106463879,0.046153846153846156,0.12683823529411764,0.10603588907014681,-0.275811209439528,-0.010183299389002037,0.02263374485596708,0.096579476861167,0.1944954128440367,0.010752688172043012,0.060790273556231005,0.10028653295128939,0.04296875,-0.28214731585518105
Abbotsford,WI,527.0,536.0,572.0,573.0,587.0,550.0,603.0,493.0,534.0,520.0,725.0,758.0,845.0,835.0,884.0,0.017077798861480076,0.06716417910447761,0.0017482517482517483,0.02443280977312391,-0.06303236797274275,0.09636363636363636,-0.1824212271973466,0.08316430020283976,-0.026217228464419477,0.3942307692307692,0.04551724137931035,0.11477572559366754,-0.011834319526627219,0.058682634730538925
Abbott,TX,806.0,767.0,563.0,700.0,850.0,917.0,920.0,958.0,775.0,867.0,850.0,,,,,-0.04838709677419355,-0.26597131681877445,0.2433392539964476,0.21428571428571427,0.07882352941176471,0.003271537622682661,0.041304347826086954,-0.19102296450939457,0.11870967741935484,-0.0196078431372549,,,,
Abbyville,KS,,,,294.0,,508.0,,,,,,,,,,,,,,,,,,,,,,,
Abercrombie,ND,625.0,325.0,456.0,325.0,538.0,525.0,725.0,838.0,875.0,850.0,860.0,825.0,,,,-0.48,0.40307692307692305,-0.28728070175438597,0.6553846153846153,-0.024163568773234202,0.38095238095238093,0.15586206896551724,0.0441527446300716,-0.02857142857142857,0.011764705882352941,-0.040697674418604654,,,
Aberdeen,ID,574.0,566.0,571.0,554.0,550.0,542.0,541.0,527.0,548.0,490.0,483.0,503.0,464.0,604.0,663.0,-0.013937282229965157,0.0088339222614841,-0.0297723292469352,-0.007220216606498195,-0.014545454545454545,-0.0018450184501845018,-0.025878003696857672,0.03984819734345351,-0.10583941605839416,-0.014285714285714285,0.041407867494824016,-0.0775347912524851,0.3017241379310345,0.09768211920529801
Aberdeen,MD,766.0,825.0,840.0,863.0,903.0,923.0,899.0,936.0,1016.0,1006.0,1027.0,1062.0,1115.0,1229.0,1339.0,0.07702349869451697,0.01818181818181818,0.02738095238095238,0.046349942062572425,0.0221483942414175,-0.02600216684723727,0.041156840934371525,0.08547008547008547,-0.00984251968503937,0.020874751491053677,0.034079844206426485,0.04990583804143126,0.10224215246636771,0.08950366151342555
Aberdeen,MS,462.0,443.0,468.0,507.0,494.0,514.0,531.0,546.0,541.0,601.0,585.0,575.0,646.0,694.0,633.0,-0.04112554112554113,0.056433408577878104,0.08333333333333333,-0.02564102564102564,0.04048582995951417,0.033073929961089495,0.02824858757062147,-0.009157509157509158,0.11090573012939002,-0.026622296173044926,-0.017094017094017096,0.12347826086956522,0.07430340557275542,-0.08789625360230548
Aberdeen,SD,448.0,463.0,488.0,508.0,548.0,576.0,602.0,616.0,641.0,669.0,685.0,669.0,704.0,741.0,783.0,0.033482142857142856,0.05399568034557235,0.040983606557377046,0.07874015748031496,0.051094890510948905,0.04513888888888889,0.023255813953488372,0.040584415584415584,0.0436817472698908,0.02391629297458894,-0.02335766423357664,0.052316890881913304,0.052556818181818184,0.05668016194331984
Aberdeen,WA,656.0,680.0,718.0,703.0,711.0,720.0,694.0,720.0,742.0,737.0,754.0,818.0,859.0,923.0,1024.0,0.036585365853658534,0.05588235294117647,-0.020891364902506964,0.011379800853485065,0.012658227848101266,-0.03611111111111111,0.037463976945244955,0.030555555555555555,-0.006738544474393531,0.023066485753052916,0.08488063660477453,0.05012224938875306,0.07450523864959255,0.1094257854821235
Abernathy,TX,647.0,733.0,805.0,699.0,733.0,741.0,736.0,682.0,679.0,698.0,685.0,645.0,659.0,709.0,738.0,0.13292117465224113,0.09822646657571624,-0.13167701863354037,0.04864091559370529,0.010914051841746248,-0.006747638326585695,-0.07336956521739131,-0.004398826979472141,0.027982326951399118,-0.01862464183381089,-0.058394160583941604,0.021705426356589147,0.07587253414264036,0.04090267983074753
Abilene,KS,534.0,554.0,563.0,567.0,574.0,555.0,567.0,599.0,629.0,619.0,672.0,662.0,672.0,735.0,788.0,0.03745318352059925,0.016245487364620937,0.007104795737122558,0.012345679012345678,-0.033101045296167246,0.021621621621621623,0.0564373897707231,0.05008347245409015,-0.01589825119236884,0.08562197092084006,-0.01488095238095238,0.015105740181268883,0.09375,0.07210884353741497
Abilene,TX,697.0,723.0,730.0,749.0,757.0,775.0,778.0,816.0,846.0,912.0,924.0,918.0,961.0,1060.0,1106.0,0.03730272596843615,0.009681881051175657,0.026027397260273973,0.010680907877169559,0.023778071334214,0.003870967741935484,0.04884318766066838,0.03676470588235294,0.07801418439716312,0.013157894736842105,-0.006493506493506494,0.046840958605664486,0.10301768990634755,0.04339622641509434
Abingdon,IL,484.0,491.0,558.0,584.0,596.0,577.0,532.0,521.0,502.0,531.0,547.0,575.0,642.0,764.0,723.0,0.014462809917355372,0.1364562118126273,0.04659498207885305,0.02054794520547945,-0.031879194630872486,-0.0779896013864818,-0.020676691729323307,-0.036468330134357005,0.05776892430278884,0.030131826741996232,0.051188299817184646,0.11652173913043479,0.19003115264797507,-0.05366492146596859
Absecon,NJ,1247.0,1175.0,1304.0,1334.0,1302.0,1312.0,1312.0,1260.0,1294.0,1356.0,1402.0,1471.0,1457.0,1697.0,1814.0,-0.057738572574178026,0.1097872340425532,0.023006134969325152,-0.0239880059970015,0.007680491551459293,0.0,-0.039634146341463415,0.026984126984126985,0.04791344667697063,0.03392330383480826,0.049215406562054205,-0.009517335146159076,0.16472203157172272,0.06894519740718916
Acequia,ID,,,775.0,775.0,,544.0,675.0,542.0,542.0,541.0,713.0,817.0,,,,,,0.0,,,0.24080882352941177,-0.19703703703703704,0.0,-0.0018450184501845018,0.3179297597042514,0.1458625525946704,,,
Ackerly,TX,575.0,,,,,,,,,,600.0,525.0,532.0,,,,,,,,,,,,,-0.125,0.013333333333333334,,
Ackley,IA,439.0,408.0,411.0,435.0,428.0,451.0,460.0,473.0,481.0,526.0,544.0,533.0,547.0,638.0,677.0,-0.07061503416856492,0.007352941176470588,0.058394160583941604,-0.016091954022988506,0.053738317757009345,0.019955654101995565,0.02826086956521739,0.016913319238900635,0.09355509355509356,0.034220532319391636,-0.02022058823529412,0.02626641651031895,0.1663619744058501,0.061128526645768025
